date,link,text
2019-08-08 12:09,https://newyork.craigslist.org/que/egr/d/long-island-city-structural-engineer/6952250856.html,Structural Engineer-Construction
2019-08-08 11:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-corporate/6952202896.html,Project Manager - Corporate Interiors - Revit
2019-08-07 20:23,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-coordinator/6951915328.html,Project Coordinator / Intermediate Architect
2019-08-07 12:59,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-architectural/6951555810.html,Senior Architectural Designer
2019-08-07 12:31,https://newyork.craigslist.org/brk/egr/d/brooklyn-remotely-estimator/6951528495.html,Remotely Estimator Construction Carpenter  WANTED
2019-08-07 11:26,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6951466451.html,DOB Filing Representative- Freelance
2019-08-07 11:12,https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-draftsperson-for/6951453705.html,Freelance Draftsperson for Fine Art Studio
2019-08-07 10:54,https://newyork.craigslist.org/que/egr/d/construction-estimator/6951437011.html,Construction Estimator
2019-08-07 09:40,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-for-busy/6951378496.html,Project Manager for Busy Design-to-Build Reno Co.
2019-08-07 08:55,https://newyork.craigslist.org/mnh/egr/d/oswego-architectural-model-maker/6951350374.html,ARCHITECTURAL MODEL MAKER
2019-08-06 18:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-engineer/6951087639.html,Project Engineer (Structural/Civil) - Immediate Hire!
2019-08-06 17:40,https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6951050978.html,"Architect, Intermediate"
2019-08-06 16:01,https://newyork.craigslist.org/que/egr/d/woodside-rhonda-feinman-custom-frames/6950967891.html,Rhonda Feinman Custom Frames are looking to hire Sander & Supervising
2019-08-06 11:15,https://newyork.craigslist.org/mnh/egr/d/new-york-city-stone-estimator-needed/6950695485.html,Stone Estimator needed for at trendy LIC firm! APPLY TODAY!!
2019-08-06 09:27,https://newyork.craigslist.org/que/egr/d/flushing-architect-drafts-person/6950609383.html,Architect drafts person
2019-08-06 08:40,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-drafter/6950583726.html,ARCHITECT / DRAFTER
2019-08-06 07:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-freelance-sketchup/6950556587.html,Freelance Sketchup Designer - Immediate hire
2019-08-06 05:41,https://newyork.craigslist.org/brk/egr/d/brooklyn-administrator-assistant/6950541297.html,Administrator/ Assistant Project Manager and Office Manager
2019-08-05 17:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-energy-engineer/6950264745.html,Energy Engineer
2019-08-05 15:33,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/6950172567.html,Senior Interior Designer/Project Manager - Home Studios
2019-08-05 12:55,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6950017014.html,Draftsperson Detailer
2019-08-05 10:21,https://newyork.craigslist.org/mnh/egr/d/new-york-city-top-expediting-firm/6949870518.html,Top Expediting Firm- Immediate Full time Openings- Excellent Benefits
2019-08-05 09:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-designer-sales-must-have/6949839443.html,Designer + Sales - Must have experience with 20/20
2019-08-05 09:11,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-engineer/6949818068.html,Project Engineer
2019-08-05 09:05,https://newyork.craigslist.org/que/egr/d/fresh-meadows-office-field-assistant/6949814443.html,Office & Field Assistant (Flushing)
2019-08-05 08:44,https://newyork.craigslist.org/lgi/egr/d/east-setauket-draftsmen/6949802220.html,Draftsmen
2019-08-04 13:28,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6949345885.html,Structural Engineer
2019-08-04 05:37,https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6949137095.html,BOOKKEEPER
2019-08-03 16:53,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6948888353.html,Project Manager - Electrical / Data Construction - Large Firm
2019-08-03 10:13,https://newyork.craigslist.org/mnh/egr/d/new-york-city-asst-project-designer/6948541786.html,Asst Project Designer / Office Manager
2019-08-03 09:40,https://newyork.craigslist.org/mnh/egr/d/new-york-city-licensed-superintendent/6948518804.html,Licensed Superintendent/ Assistant Construction Manager
